cluster_id,x,y,z,radius,label,points_in,points_out,in_out_ratio
112,-246.75342,32.848152,169.78772,7.886033,subtraction,20,3,0.8695652173913043
113,-99.70035,64.7188,326.92786,6.934726,subtraction,12,5,0.7058823529411765
114,-280.71234,307.72488,53.482452,7.5171566,subtraction,16,1,0.9411764705882353
115,-198.91374,233.15656,282.33566,8.25384,addition,2,19,0.09523809523809523
116,-39.09345,52.19678,180.89682,5.558045,subtraction,12,4,0.75
117,-79.507454,73.70467,458.29013,6.8245435,subtraction,10,0,1.0
118,-39.423595,4.0778737,28.633741,7.641673,subtraction,17,1,0.9444444444444444
119,-248.88025,277.0285,161.89224,7.3118563,subtraction,11,1,0.9166666666666666
120,-82.89254,115.50894,206.96623,5.3457656,subtraction,10,5,0.6666666666666666
121,-275.60257,307.5457,12.627868,9.767949,subtraction,22,0,1.0
122,-59.637897,76.509155,413.53906,5.917811,subtraction,7,3,0.7
123,-263.86255,236.77733,284.43484,9.674839,subtraction,21,1,0.9545454545454546
124,-38.739647,1.6640654,20.732576,5.1613455,subtraction,8,2,0.8
